from	from	from
:	:	:
mac@utkvx.bitnet	mac@utkvx.bitnet	mac@utkvx.bitnet
(	(	(
richard	richard	richard
j	j	j
.	.	.

mcdougald	mcdougald	mcdougald
)	)	)
subject	subject	subject
:	:	:
re	re	re
:	:	:
why	whi	why
does	doe	doe
illustrator	illustr	illustrator
autotrace	autotrac	autotrace
so	so	so
poorly	poor	poorly
?	?	?

organization	organ	organization
:	:	:
university	univers	university
of	of	of
tennessee	tennesse	tennessee

lines	line	line
:	:	:
22	22	22

in	in	in
article	articl	article
<	<	<
0010580b.vmcbrt@diablo.uucp	0010580b.vmcbrt@diablo.uucp	0010580b.vmcbrt@diablo.uucp
>	>	>
diablo	diablo	diablo
.	.	.
uucp	uucp	uucp
!	!	!
cboesel	cboesel	cboesel
(	(	(
charles	charl	charles
boesel	boesel	boesel
)	)	)
writes	write	writes
:	:	:

yeah	yeah	yeah
,	,	,
corel	corel	corel
draw	draw	draw
and	and	and
wordperfect	wordperfect	wordperfect
presentations	present	presentation
pretty	pretti	pretty
limited	limit	limited
here	here	here
,	,	,
too	too	too
.	.	.

since	sinc	since
there	there	there
'	'	'
s	s	s
no	no	no
(	(	(
not	not	not
really	realli	really
)	)	)
such	such	such
thing	thing	thing
as	as	a
a	a	a
decent	decent	decent
raster	raster	raster
to	to	to
vector	vector	vector
conversion	convers	conversion
program	program	program
,	,	,
this	this	this
"	"	"
tracing	trace	tracing
"	"	"
technique	techniqu	technique
is	is	is
about	about	about
it	it	it
.	.	.

simple	simpl	simple
stuff	stuff	stuff
,	,	,
like	like	like
b	b	b
&	&	&
w	w	w
logos	logo	logo
,	,	,
etc	etc	etc
.	.	.

do	do	do
pretty	pretti	pretty
well	well	well
,	,	,
while	while	while
more	more	more
complicated	complic	complicated
stuff	stuff	stuff
goes	goe	go
haywire	haywir	haywire
.	.	.

i	i	i
suspect	suspect	suspect
(	(	(
even	even	even
though	though	though
i	i	i
don	don	don
'	'	'
t	t	t
write	write	write
code	code	code
)	)	)
that	that	that
a	a	a
good	good	good
bitmapped	bitmap	bitmapped
to	to	to
vector	vector	vector
conversion	convers	conversion
program	program	program
would	would	would
probably	probabl	probably
be	be	be
as	as	a
big	big	big
as	as	a
most	most	most
of	of	of
these	these	these
application	applic	application
softwares	softwar	software
we	we	we
'	'	'
re	re	re
using	use	using
-	-	-
-	-	-
but	but	but
even	even	even
so	so	so
,	,	,
how	how	how
come	come	come
one	one	one
hasn	hasn	hasn
'	'	'
t	t	t
been	been	been
written	written	written
?	?	?

(	(	(
to	to	to
my	my	my
knowledge	knowledg	knowledge
)	)	)
.	.	.

i	i	i
mean	mean	mean
,	,	,
even	even	even
hijaak	hijaak	hijaak
,	,	,
one	one	one
of	of	of
the	the	the
commercial	commerci	commercial
industry	industri	industry
standards	standard	standard
of	of	of
file	file	file
conversion	convers	conversion
,	,	,
hasn	hasn	hasn
'	'	'
t	t	t
attempted	attempt	attempted
it	it	it
yet	yet	yet
.	.	.

+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+

mac	mac	mac
mcdougald	mcdougald	mcdougald
*	*	*
any	ani	any
opinions	opinion	opinion
expressed	express	expressed
herein	herein	herein

the	the	the
photography	photographi	photography
center	center	center
*	*	*
are	are	are
not	not	not
necessarily	necessarili	necessarily
(	(	(
actually	actual	actually
,	,	,
univ	univ	univ
.	.	.

of	of	of
tenn	tenn	tenn
.	.	.

knoxville	knoxvill	knoxville
37996	37996	37996
*	*	*
are	are	are
almost	almost	almost
certainly	certain	certainly
not	not	not
)	)	)
those	those	those

mac@utkvx.utk.edu	mac@utkvx.utk.edu	mac@utkvx.utk.edu
*	*	*
of	of	of
the	the	the
university	univers	university
of	of	of
tennessee	tennesse	tennessee
.	.	.

mac@utkvx.bitnet	mac@utkvx.bitnet	mac@utkvx.bitnet
*	*	*

(	(	(
615-974-3449	615-974-3449	615-974-3449
)	)	)
*	*	*
"	"	"
things	thing	thing
are	are	are
more	more	more
like	like	like
they	they	they
are	are	are
now	now	now

(	(	(
615-974-6435	615-974-6435	615-974-6435
)	)	)
fax	fax	fax
*	*	*
than	than	than
they	they	they
'	'	'
ve	ve	ve
ever	ever	ever
been	been	been
before	befor	before
.	.	.
"	"	"

+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
+	+	+
