from	from	from
:	:	:
jmeyers@ecst.csuchico.edu	jmeyers@ecst.csuchico.edu	jmeyers@ecst.csuchico.edu
(	(	(
jeff	jeff	jeff
meyers	meyer	meyers
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
procomm	procomm	procomm
plus	plus	plus
for	for	for
windows	window	window
problems	problem	problem
.	.	.
.	.	.
.	.	.
.	.	.

organization	organ	organization
:	:	:
california	california	california
state	state	state
university	univers	university
,	,	,
chico	chico	chico

lines	line	line
:	:	:
20	20	20

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
psycho	psycho	psycho
.	.	.
ecst	ecst	ecst
.	.	.
csuchico	csuchico	csuchico
.	.	.
edu	edu	edu

in	in	in
article	articl	article
<	<	<
1qkqrhinnobc@matt.ksu.ksu.edu	1qkqrhinnobc@matt.ksu.ksu.edu	1qkqrhinnobc@matt.ksu.ksu.edu
>	>	>
kentiler@matt.ksu.ksu.edu	kentiler@matt.ksu.ksu.edu	kentiler@matt.ksu.ksu.edu
(	(	(
kent	kent	kent
p	p	p
.	.	.

iler	iler	iler
)	)	)
writes	write	writes
:	:	:

.	.	.

.	.	.

>	>	>
i	i	i
have	have	have
a	a	a
friend	friend	friend
who	who	who
connects	connect	connects
to	to	to
the	the	the
mainframe	mainfram	mainframe
and	and	and
unix	unix	unix
machines	machin	machine
here	here	here

>	>	>
using	use	using
it	it	it
,	,	,
but	but	but
the	the	the
screen	screen	screen
seems	seem	seems
to	to	to
have	have	have
a	a	a
problem	problem	problem
keeping	keep	keeping
up	up	up
with	with	with
the	the	the

>	>	>
modem	modem	modem
.	.	.
.	.	.
.	.	.
.	.	.
he	he	he
has	has	ha
a	a	a
14	14	14
,	,	,
400	400	400
modem	modem	modem
on	on	on
a	a	a
486	486	486
50	50	50
mhz	mhz	mhz
machine	machin	machine
.	.	.

tell	tell	tell
him	him	him
he	he	he
probably	probabl	probably
needs	need	need
to	to	to
upgrade	upgrad	upgrade
to	to	to
a	a	a
faster	faster	faster
video	video	video
card	card	card
!	!	!

my	my	my
9600	9600	9600
baud	baud	baud
