from	from	from
:	:	:
carter@photon.cem.msu.edu	carter@photon.cem.msu.edu	carter@photon.cem.msu.edu
(	(	(
tom	tom	tom
carter	carter	carter
<	<	<
carter@photon.cem.msu.edu	carter@photon.cem.msu.edu	carter@photon.cem.msu.edu
>	>	>
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
winqvt	winqvt	winqvt
/	/	/
net	net	net
v3	v3	v3
.	.	.
4	4	4
?	?	?

organization	organ	organization
:	:	:
michigan	michigan	michigan
state	state	state
university	univers	university
,	,	,
chemistry	chemistri	chemistry
department	depart	department
,	,	,
e	e	e
.	.	.

lansing	lans	lansing
,	,	,
mi	mi	mi
lines	line	line
:	:	:
28	28	28
nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
exciton	exciton	exciton
.	.	.
cem	cem	cem
.	.	.
msu	msu	msu
.	.	.
edu	edu	edu

in	in	in
article	articl	article
<	<	<
ashok.661.0@biochemistry.cwru.edu	ashok.661.0@biochemistry.cwru.edu	ashok.661.0@biochemistry.cwru.edu
>	>	>
ashok@biochemistry.cwru.edu	ashok@biochemistry.cwru.edu	ashok@biochemistry.cwru.edu
(	(	(
ashok	ashok	ashok
aiyar	aiyar	aiyar
)	)	)
writes	write	writes
:	:	:

>	>	>
in	in	in
article	articl	article
<	<	<
354@lorien.ocf.llnl.gov	354@lorien.ocf.llnl.gov	354@lorien.ocf.llnl.gov
>	>	>
dave@angmar.llnl.gov	dave@angmar.llnl.gov	dave@angmar.llnl.gov
(	(	(
dave	dave	dave
fuess	fuess	fuess
)	)	)
writes	write	writes
:	:	:

>	>	>

>	>	>
>	>	>
an	an	an
earlier	earlier	earlier
article	articl	article
in	in	in
this	this	this
newsgroup	newsgroup	newsgroup
made	made	made
reference	refer	reference
to	to	to

>	>	>
>	>	>
winqvt	winqvt	winqvt
/	/	/
net	net	net
version	version	version
3	3	3
.	.	.
4	4	4
.	.	.
realy	reali	realy
?	?	?

where	where	where
?	?	?

i	i	i
tried	tri	tried
archie	archi	archie

>	>	>
>	>	>
with	with	with
no	no	no
luck	luck	luck
.	.	.

it	it	it
