from	from	from
:	:	:
reczek@acsu.buffalo.edu	reczek@acsu.buffalo.edu	reczek@acsu.buffalo.edu
(	(	(
timothy	timothi	timothy
j	j	j
.	.	.

reczek	reczek	reczek
)	)	)
subject	subject	subject
:	:	:
wanted	want	wanted
-	-	-
dialog	dialog	dialog
box	box	box
to	to	to
select	select	select
file	file	file
(	(	(
s	s	s
)	)	)
for	for	for
dos	dos	do
apps	app	apps
article	articl	article
-	-	-
i	i	i
.	.	.
d	d	d
.	.	.
:	:	:
acsu	acsu	acsu
.	.	.
c5jq1d	c5jq1d	c5jq1d
.	.	.
hcp	hcp	hcp
organization	organ	organization
:	:	:
ub	ub	ub
lines	line	line
:	:	:
31	31	31
originator	origin	originator
:	:	:
reczek@tolstoy.acsu.buffalo.edu	reczek@tolstoy.acsu.buffalo.edu	reczek@tolstoy.acsu.buffalo.edu
nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
tolstoy	tolstoy	tolstoy
.	.	.
acsu	acsu	acsu
.	.	.
buffalo	buffalo	buffalo
.	.	.
edu	edu	edu

i	i	i
'	'	'
m	m	m
looking	look	looking
for	for	for
a	a	a
program	program	program
that	that	that
will	will	will
let	let	let
me	me	me
use	use	use
a	a	a
windows	window	window
common	common	common
dialog	dialog	dialog
box	box	box
to	to	to
select	select	select
a	a	a
file	file	file
to	to	to
use	use	use
when	when	when
running	run	running
a	a	a
dos	dos	do
app	app	app
.	.	.

basically	basic	basically
,	,	,
i	i	i
have	have	have
several	sever	several
dos	dos	do
apps	app	apps
that	that	that
i	i	i
use	use	use
now	now	now
and	and	and
then	then	then
with	with	with
different	differ	different
files	file	file
.	.	.

they	they	they
all	all	all
accept	accept	accept
a	a	a
file	file	file
as	as	a
a	a	a
command	command	command
line	line	line
parameter	paramet	parameter
,	,	,
but	but	but
the	the	the
only	onli	only
way	way	way
(	(	(
at	at	at
least	least	least
that	that	that
i	i	i
know	know	know
of	of	of
)	)	)
to	to	to
do	do	do
this	this	this
easily	easili	easily
when	when	when
running	run	running
them	them	them
from	from	from
windows	window	window
is	is	is
to	to	to
set	set	set
up	up	up
the	the	the
pif	pif	pif
file	file	file
so	so	so
that	that	that
it	it	it
prompts	prompt	prompt
me	me	me
for	for	for
additional	addit	additional
parameters	paramet	parameter
(	(	(
at	at	at
which	which	which
point	point	point
i	i	i
type	type	type
in	in	in
the	the	the
file	file	file
name	name	name
)	)	)
.	.	.

problems	problem	problem
are	are	are
:	:	:

1	1	1
)	)	)
sometimes	sometim	sometimes
i	i	i
can	can	can
'	'	'
t	t	t
remember	rememb	remember
where	where	where
the	the	the
file	file	file
is	is	is
exactly	exact	exactly
located	locat	located
and	and	and
it	it	it
would	would	would
be	be	be
nice	nice	nice
to	to	to
browse	brows	browse
my	my	my
directories	directori	directory
for	for	for
it	it	it
without	without	without
having	have	having
to	to	to
use	use	use
the	the	the
file	file	file
manager	manag	manager
.	.	.

and	and	and
2	2	2
)	)	)
i	i	i
'	'	'
m	m	m
lazy	lazi	lazy
and	and	and
hate	hate	hate
to	to	to
type	type	type
long	long	long
pathnames	pathnam	pathnames
for	for	for
files	file	file
burried	burri	burried
several	sever	several
directory	directori	directory
levels	level	level
deep	deep	deep
.	.	.

if	if	if
anyone	anyon	anyone
can	can	can
point	point	point
me	me	me
to	to	to
such	such	such
a	a	a
program	program	program
or	or	or
let	let	let
me	me	me
know	know	know
of	of	of
some	some	some
other	other	other
way	way	way
to	to	to
handle	handl	handle
this	this	this
,	,	,
i	i	i
'	'	'
d	d	d
appreciate	appreci	appreciate
it	it	it
.	.	.

thanks	thank	thanks
,	,	,
tim	tim	tim

-	-	-
-	-	-

the	the	the
net	net	net
isn	isn	isn
'	'	'
t	t	t
organized	organ	organized
enough	enough	enough
to	to	to
be	be	be
considered	consid	considered
an	an	an
anarchy	anarchi	anarchy

reczek@autarch.acsu.buffalo.edu	reczek@autarch.acsu.buffalo.edu	reczek@autarch.acsu.buffalo.edu
