from	from	from
:	:	:
kudla@acm.rpi.edu	kudla@acm.rpi.edu	kudla@acm.rpi.edu
(	(	(
robert	robert	robert
kudla	kudla	kudla
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
can	can	can
i	i	i
change	chang	change
"	"	"
licensed	licens	licensed
to	to	to
"	"	"
data	data	data
in	in	in
windows	window	window
3	3	3
.	.	.
1	1	1
?	?	?

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
hermes	herm	hermes
.	.	.
acm	acm	acm
.	.	.
rpi	rpi	rpi
.	.	.
edu	edu	edu

lines	line	line
:	:	:
65	65	65

in	in	in
<	<	<
0096b130.473b17c0@vms.csd.mu.edu	0096b130.473b17c0@vms.csd.mu.edu	0096b130.473b17c0@vms.csd.mu.edu
>	>	>
2a42dubinski@vms.csd.mu.edu	2a42dubinski@vms.csd.mu.edu	2a42dubinski@vms.csd.mu.edu
writes	write	writes
:	:	:

>	>	>
ahh	ahh	ahh
,	,	,
yes	yes	yes
,	,	,
this	this	this
is	is	is
a	a	a
fun	fun	fun
topic	topic	topic
.	.	.

no	no	no
,	,	,
once	onc	once
the	the	the
name	name	name
is	is	is
incribed	incrib	incribed
on	on	on
the	the	the

>	>	>
disk	disk	disk
,	,	,
that	that	that
is	is	is
it	it	it
,	,	,
it	it	it
is	is	is
encoded	encod	encoded
.	.	.

not	not	not
even	even	even
a	a	a
hex	hex	hex
editor	editor	editor
will	will	will
find	find	find
it	it	it
.	.	.

you	you	you
can	can	can

but	but	but
a	a	a
disk	disk	disk
compare	compar	compare
utility	util	utility
(	(	(
old	old	old
versus	versus	versus
new	new	new
)	)	)
will	will	will
.	.	.

and	and	and
windows	window	window
3	3	3
.	.	.
1	1	1
is	is	is
also	also	also
flexible	flexibl	flexible
enough	enough	enough
at	at	at
install	instal	install
time	time	time
that	that	that
you	you	you
can	can	can
copy	copi	copy
all	all	all
the	the	the
files	file	file
onto	onto	onto
your	your	your
hard	hard	hard
disk	disk	disk
,	,	,
which	which	which
greatly	great	greatly
speeds	speed	speed
things	thing	thing
up	up	up
and	and	and
makes	make	make
