from	from	from
:	:	:
moseley@u.washington.edu	moseley@u.washington.edu	moseley@u.washington.edu
(	(	(
steve	steve	steve
l	l	l
.	.	.

moseley	moseley	moseley
)	)	)
subject	subject	subject
:	:	:
re	re	re
:	:	:
neck	neck	neck
reining	rein	reining
-	-	-
was	was	wa
-	-	-
countersteering_faq	countersteering_faq	countersteering_faq
please	pleas	please
post	post	post
organization	organ	organization
:	:	:
microbial	microbi	microbial
pathogenesis	pathogenesi	pathogenesis
and	and	and
motorcycle	motorcycl	motorcycle
maintenance	mainten	maintenance
lines	line	line
:	:	:
25	25	25
distribution	distribut	distribution
:	:	:
world	world	world
nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
microb0	microb0	microb0
.	.	.
biostat	biostat	biostat
.	.	.
washington	washington	washington
.	.	.
edu	edu	edu

in	in	in
article	articl	article
<	<	<
1qmetg	1qmetg	1qmetg
$	$	$
g2n@sixgun.east.sun.com	g2n@sixgun.east.sun.com	g2n@sixgun.east.sun.com
>	>	>

egreen@east.sun.com	egreen@east.sun.com	egreen@east.sun.com
(	(	(
ed	ed	ed
green	green	green
-	-	-
pixel	pixel	pixel
cruncher	cruncher	cruncher
)	)	)
writes	write	writes
:	:	:

>	>	>
basically	basic	basically
,	,	,
there	there	there
are	are	are
two	two	two
ways	way	way
to	to	to
steer	steer	steer
a	a	a
horse	hors	horse
,	,	,
plow	plow	plow
-	-	-
rein	rein	rein
and	and	and

>	>	>
neck	neck	neck
-	-	-
rein	rein	rein
.	.	.

plow	plow	plow
-	-	-
reining	rein	reining
steers	steer	steer
him	him	him
by	by	by
keeping	keep	keeping
the	the	the
reins	rein	rein
separate	separ	separate
,	,	,
and	and	and

>	>	>
you	you	you
pull	pull	pull
in	in	in
the	the	the
direction	direct	direction
you	you	you
wish	wish	wish
to	to	to
go	go	go
.	.	.

neck	neck	neck
-	-	-
reining	rein	reining
steers	steer	steer
a	a	a
horse	hors	horse

>	>	>
by	by	by
holding	hold	holding
the	the	the
reins	rein	rein
together	togeth	together
in	in	in
one	one	one
hand	hand	hand
,	,	,
and	and	and
pulling	pull	pulling
against	against	against
the	the	the

>	>	>
horse	hors	horse
'	'	'
s	s	s
neck	neck	neck
in	in	in
the	the	the
direction	direct	direction
you	you	you
wish	wish	wish
to	to	to
go	go	go
.	.	.

when	when	when
training	train	training
a	a	a

>	>	>
plow	plow	plow
-	-	-
steering	steer	steering
horse	hors	horse
to	to	to
neck	neck	neck
-	-	-
rein	rein	rein
,	,	,
one	one	one
technique	techniqu	technique
is	is	is
to	to	to
cross	cross	cross
the	the	the
reins	rein	rein

>	>	>
under	under	under
his	his	his
necks	neck	neck
.	.	.

thus	thus	thus
,	,	,
when	when	when
neck	neck	neck
-	-	-
reining	rein	reining
to	to	to
the	the	the
left	left	left
,	,	,
the	the	the
right	right	right
rein	rein	rein

>	>	>
pulls	pull	pull
against	against	against
the	the	the
right	right	right
side	side	side
of	of	of
the	the	the
neck	neck	neck
,	,	,
but	but	but
the	the	the
left	left	left
side	side	side
of	of	of
the	the	the
bit	bit	bit

>	>	>
(	(	(
which	which	which
the	the	the
horse	hors	horse
is	is	is
used	use	used
to	to	to
from	from	from
his	his	his
plow	plow	plow
-	-	-
reining	rein	reining
days	day	day
)	)	)
.	.	.

i	i	i
learned	learn	learned
when	when	when
riding	ride	riding
bareback	bareback	bareback
as	as	a
a	a	a
kid	kid	kid
to	to	to
"	"	"
palm	palm	palm
-	-	-
reign	reign	reign
"	"	"
,	,	,
by	by	by
just	just	just
pushing	push	pushing
on	on	on
the	the	the
right	right	right
side	side	side
of	of	of
the	the	the
horse	hors	horse
'	'	'
s	s	s
neck	neck	neck
with	with	with
your	your	your
right	right	right
palm	palm	palm
to	to	to
turn	turn	turn
left	left	left
-	-	-
a	a	a
lot	lot	lot
like	like	like
countersteering	counterst	countersteering
.	.	.

so	so	so
that	that	that
came	came	came
pretty	pretti	pretty
easy	easi	easy
to	to	to
me	me	me
in	in	in
the	the	the
transition	transit	transition
to	to	to
motorcycles	motorcycl	motorcycle
.	.	.

it	it	it
took	took	took
a	a	a
while	while	while
however	howev	however
to	to	to
break	break	break
my	my	my
habit	habit	habit
of	of	of
kicking	kick	kicking
the	the	the
rear	rear	rear
fender	fender	fender
with	with	with
my	my	my
heels	heel	heel
to	to	to
go	go	go
faster	faster	faster
.	.	.

steve	steve	steve

__________________________________________________________________________	__________________________________________________________________________	__________________________________________________________________________
steve	steve	steve
l	l	l
.	.	.

moseley	moseley	moseley
moseley@u.washington.edu	moseley@u.washington.edu	moseley@u.washington.edu
microbiology	microbiolog	microbiology
sc	sc	sc
-	-	-
42	42	42
phone	phone	phone
:	:	:
(	(	(
206) 543-2820	206) 543-2820	206) 543-2820
university	univers	university
of	of	of
washington	washington	washington
fax	fax	fax
:	:	:
(	(	(
206) 543-8297	206) 543-8297	206) 543-8297
seattle	seattl	seattle
,	,	,
wa	wa	wa
98195	98195	98195
