from	from	from
:	:	:
ba7116326@ntuvax.ntu.ac.sg	ba7116326@ntuvax.ntu.ac.sg	ba7116326@ntuvax.ntu.ac.sg

subject	subject	subject
:	:	:
v	v	v
-	-	-
max	max	max
handling	handl	handling
request	request	request

lines	line	line
:	:	:
5	5	5

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
v9001	v9001	v9001
.	.	.
ntu	ntu	ntu
.	.	.
ac	ac	ac
.	.	.
sg	sg	sg

organization	organ	organization
:	:	:
nanyang	nanyang	nanyang
technological	technolog	technological
university	univers	university
-	-	-
singapore	singapor	singapore

hello	hello	hello
there	there	there
ican	ican	ican
anyone	anyon	anyone
who	who	who
has	has	ha
handson	handson	handson
experience	experi	experience
on	on	on
riding	ride	riding
the	the	the
yamaha	yamaha	yamaha
v	v	v
-	-	-
max	max	max
,	,	,
pls	pls	pls
kindly	kind	kindly
comment	comment	comment
on	on	on
its	it	it
handling	handl	handling
.	.	.
