from	from	from
:	:	:
joslin@pogo.isp.pitt.edu	joslin@pogo.isp.pitt.edu	joslin@pogo.isp.pitt.edu
(	(	(
david	david	david
joslin	joslin	joslin
)	)	)

subject	subject	subject
:	:	:
apology	apolog	apology
to	to	to
jim	jim	jim
meritt	meritt	meritt
(	(	(
was	was	wa
:	:	:
silence	silenc	silence
is	is	is
concurance	concur	concurance
)	)	)

distribution	distribut	distribution
:	:	:
usa	usa	usa

organization	organ	organization
:	:	:
intelligent	intellig	intelligent
systems	system	system
program	program	program

lines	line	line
:	:	:
39	39	39

m23364@mwunix.mitre.org	m23364@mwunix.mitre.org	m23364@mwunix.mitre.org
(	(	(
james	jame	james
meritt	meritt	meritt
)	)	)
writes	write	writes
:	:	:

>	>	>
}	}	}
so	so	so
stop	stop	stop
dodging	dodg	dodging
the	the	the
question	question	question
.	.	.

what	what	what
is	is	is
hypocritical	hypocrit	hypocritical
about	about	about
my	my	my

>	>	>
}	}	}
criticizing	critic	criticizing
bad	bad	bad
arguments	argument	argument
,	,	,
given	given	given
that	that	that
i	i	i
do	do	do
this	this	this
both	both	both
when	when	when
i	i	i
agree	agre	agree

>	>	>
}	}	}
with	with	with
the	the	the
conclusion	conclus	conclusion
and	and	and
when	when	when
i	i	i
disagree	disagre	disagree
with	with	with
the	the	the
conclusion	conclus	conclusion
?	?	?

>	>	>

>	>	>
you	you	you
are	are	are
the	the	the
one	one	one
who	who	who
has	has	ha
claimed	claim	claimed
to	to	to
possess	possess	possess
the	the	the
fruits	fruit	fruit
of	of	of
precognition	precognit	precognition
,	,	,
>	>	>
telepathy	telepathi	telepathy
,	,	,
and	and	and
telempathy	telempathi	telempathy
.	.	.

divine	divin	divine
it	it	it
yourself	yourself	yourself
.	.	.

another	anoth	another
dodge	dodg	dodge
.	.	.

oh	oh	oh
well	well	well
.	.	.

i	i	i
'	'	'
m	m	m
no	no	no
match	match	match
for	for	for
your	your	your
amazing	amaz	amazing
repertoire	repertoir	repertoire
of	of	of
red	red	red
herrings	herring	herring
and	and	and
smoke	smoke	smoke
screens	screen	screen
.	.	.

you	you	you
asked	ask	asked
for	for	for
an	an	an
apology	apolog	apology
.	.	.

i	i	i
'	'	'
m	m	m
not	not	not
going	go	going
to	to	to
apologize	apolog	apologize
for	for	for
pointing	point	pointing
out	out	out
that	that	that
your	your	your
straw	straw	straw
-	-	-
man	man	man
argument	argument	argument
was	was	wa
a	a	a
straw	straw	straw
-	-	-
man	man	man
argument	argument	argument
.	.	.

nor	nor	nor
for	for	for
saying	say	saying
that	that	that
your	your	your
list	list	list
of	of	of
"	"	"
bible	bibl	bible
contradictions	contradict	contradiction
"	"	"
shows	show	show
such	such	such
low	low	low
standards	standard	standard
of	of	of
scholarship	scholarship	scholarship
that	that	that
it	it	it
should	should	should
be	be	be
an	an	an
embarrassment	embarrass	embarrassment
to	to	to
anti	anti	anti
-	-	-
inerrantists	inerrantist	inerrantists
,	,	,
just	just	just
as	as	a
josh	josh	josh
mcdowell	mcdowel	mcdowell
should	should	should
be	be	be
an	an	an
embarrassment	embarrass	embarrassment
to	to	to
the	the	the
fundies	fundi	fundies
.	.	.

nor	nor	nor
for	for	for
objecting	object	objecting
various	various	various
times	time	time
to	to	to
your	your	your
taking	take	taking
quotes	quot	quote
out	out	out
of	of	of
context	context	context
.	.	.

nor	nor	nor
for	for	for
pointing	point	pointing
out	out	out
that	that	that
"	"	"
they	they	they
do	do	do
it	it	it
too	too	too
"	"	"
is	is	is
not	not	not
an	an	an
excuse	excus	excuse
.	.	.

nor	nor	nor
for	for	for
calling	call	calling
your	your	your
red	red	red
