from	from	from
:	:	:
mlee@post.royalroads.ca	mlee@post.royalroads.ca	mlee@post.royalroads.ca
(	(	(
malcolm	malcolm	malcolm
lee	lee	lee
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
davidians	davidian	davidians
and	and	and
compassion	compass	compassion

organization	organ	organization
:	:	:
royal	royal	royal
roads	road	road
military	militari	military
college	colleg	college
,	,	,
victoria	victoria	victoria
,	,	,
b	b	b
.	.	.
c	c	c
.	.	.

lines	line	line
:	:	:
34	34	34

in	in	in
article	articl	article
<	<	<
sandvik-200493000159@sandvik-kent.apple.com	sandvik-200493000159@sandvik-kent.apple.com	sandvik-200493000159@sandvik-kent.apple.com
>	>	>
,	,	,
sandvik@newton.apple.com	sandvik@newton.apple.com	sandvik@newton.apple.com
(	(	(
kent	kent	kent
sandvik	sandvik	sandvik
)	)	)
writes	write	writes
:	:	:

|	|	|
>	>	>
in	in	in
article	articl	article
<	<	<
93apr20.011634edt.47719@neat.cs.toronto.edu	93apr20.011634edt.47719@neat.cs.toronto.edu	93apr20.011634edt.47719@neat.cs.toronto.edu
>	>	>
,	,	,
|	|	|
>	>	>
cbo@cs.toronto.edu	cbo@cs.toronto.edu	cbo@cs.toronto.edu
(	(	(
calvin	calvin	calvin
bruce	bruce	bruce
ostrum	ostrum	ostrum
)	)	)
wrote	wrote	wrote
:	:	:

|	|	|
>	>	>
>	>	>
in	in	in
article	articl	article
<	<	<
sandvik-190493200420@sandvik-kent.apple.com	sandvik-190493200420@sandvik-kent.apple.com	sandvik-190493200420@sandvik-kent.apple.com
>	>	>

|	|	|
>	>	>
>	>	>
sandvik@newton.apple.com	sandvik@newton.apple.com	sandvik@newton.apple.com
(	(	(
kent	kent	kent
sandvik	sandvik	sandvik
)	)	)
writes	write	writes
:	:	:

|	|	|
>	>	>
>	>	>
|	|	|
i	i	i
have	have	have
a	a	a
hard	hard	hard
time	time	time
just	just	just
now	now	now
understanding	understand	understanding
that	that	that
christianity	christian	christianity

|	|	|
>	>	>
>	>	>
|	|	|
knows	know	know
about	about	about
the	the	the
word	word	word
compassion	compass	compassion
.	.	.

christians	christian	christian
,	,	,
do	do	do
you	you	you
think	think	think

|	|	|
>	>	>
>	>	>
|	|	|
the	the	the
actions	action	action
today	today	today
would	would	would
produce	produc	produce
a	a	a
good	good	good
picture	pictur	picture
of	of	of
your	your	your

|	|	|
>	>	>
>	>	>
|	|	|
religion	religion	religion
?	?	?

|	|	|
>	>	>
>	>	>
clearly	clear	clearly
all	all	all
people	peopl	people
considering	consid	considering
themselves	themselv	themselves
christians	christian	christian
are	are	are
all	all	all
alike	alik	alike
,	,	,
|	|	|
>	>	>
>	>	>
and	and	and
support	support	support
one	one	one
another	anoth	another
in	in	in
everything	everyth	everything
they	they	they
do	do	do
.	.	.

in	in	in
particular	particular	particular
,	,	,
it	it	it

|	|	|
>	>	>
>	>	>
follows	follow	follows
that	that	that
they	they	they
certainly	certain	certainly
will	will	will
support	support	support
all	all	all
the	the	the
actions	action	action
of	of	of
any	ani	any

|	|	|
>	>	>
>	>	>
other	other	other
person	person	person
calling	call	calling
himself	himself	himself
a	a	a
christian	christian	christian
.	.	.
.	.	.
.	.	.

not	not	not
.	.	.

|	|	|
>	>	>

|	|	|
>	>	>
i	i	i
see	see	see
,	,	,
there	there	there
are	are	are
christians	christian	christian
,	,	,
and	and	and
there	there	there
are	are	are
christians	christian	christian
.	.	.

no	no	no
wonder	wonder	wonder

|	|	|
>	>	>
the	the	the
christian	christian	christian
world	world	world
is	is	is
in	in	in
shambles	shambl	shamble
,	,	,
you	you	you
can	can	can
'	'	'
t	t	t
even	even	even
agree	agre	agree
who	who	who

|	|	|
>	>	>
is	is	is
a	a	a
rightful	right	rightful
one	one	one
and	and	and
a	a	a
wrong	wrong	wrong
one	one	one
.	.	.

|	|	|
>	>	>

if	if	if
one	one	one
does	doe	doe
not	not	not
follow	follow	follow
the	the	the
teachings	teach	teaching
of	of	of
christ	christ	christ
,	,	,
he	he	he
is	is	is
not	not	not
christian	christian	christian
.	.	.

too	too	too
easy	easi	easy
?	?	?

|	|	|
>	>	>
please	pleas	please
,	,	,
i	i	i
would	would	would
like	like	like
to	to	to
hear	hear	hear
your	your	your
comments	comment	comment
about	about	about
a	a	a
supposed	suppos	supposed

|	|	|
>	>	>
christian	christian	christian
leader	leader	leader
that	that	that
makes	make	make
sure	sure	sure
that	that	that
children	children	child
are	are	are
burnt	burnt	burnt
to	to	to

|	|	|
>	>	>
death	death	death
.	.	.

|	|	|
>	>	>

would	would	would
you	you	you
say	say	say
all	all	all
muslims	muslim	muslim
are	are	are
like	like	like
saddam	saddam	saddam
hussein	hussein	hussein
?	?	?

i	i	i
wouldn	wouldn	wouldn
'	'	'
t	t	t
make	make	make
such	such	such
a	a	a
blanket	blanket	blanket
judgement	judgement	judgement
,	,	,
why	whi	why
do	do	do
you	you	you
?	?	?

|	|	|
>	>	>
kent	kent	kent

|	|	|
>	>	>
-	-	-
-	-	-
-	-	-

|	|	|
>	>	>
sandvik@newton.apple.com	sandvik@newton.apple.com	sandvik@newton.apple.com
.	.	.

alink	alink	alink
:	:	:
ksand	ksand	ksand
-	-	-
-	-	-
private	privat	private
activities	activ	activity
on	on	on
the	the	the
net	net	net
.	.	.
