from	from	from
:	:	:
hlu@luke.eecs.wsu.edu	hlu@luke.eecs.wsu.edu	hlu@luke.eecs.wsu.edu
(	(	(
hj	hj	hj
lu	lu	lu
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
debugging	debug	debugging
possible	possibl	possible
hardware	hardwar	hardware
problems	problem	problem

article	articl	article
-	-	-
i	i	i
.	.	.
d	d	d
.	.	.
:	:	:
serval	serval	serval
.	.	.
1993apr20	1993apr20	1993apr20
.	.	.
151405	151405	151405
.	.	.
12480	12480	12480

organization	organ	organization
:	:	:
washington	washington	washington
state	state	state
university	univers	university
!	!	!

lines	line	line
:	:	:
54	54	54

in	in	in
article	articl	article
<	<	<
1r0rslinnnv2@senator-bedfellow.mit.edu	1r0rslinnnv2@senator-bedfellow.mit.edu	1r0rslinnnv2@senator-bedfellow.mit.edu
>	>	>
jfc@athena.mit.edu	jfc@athena.mit.edu	jfc@athena.mit.edu
(	(	(
john	john	john
f	f	f
carr	carr	carr
)	)	)
writes	write	writes
:	:	:

>	>	>

>	>	>
i	i	i
'	'	'
m	m	m
running	run	running
linux	linux	linux
on	on	on
an	an	an
80486	80486	80486
eisa	eisa	eisa
system	system	system
,	,	,
and	and	and
i	i	i
'	'	'
m	m	m
having	have	having
what	what	what
i	i	i
think	think	think
are	are	are

>	>	>
hardware	hardwar	hardware
problems	problem	problem
.	.	.

it	it	it
could	could	could
be	be	be
software	softwar	software
,	,	,
but	but	but
i	i	i
don	don	don
'	'	'
t	t	t
see	see	see
why	whi	why
i	i	i
'	'	'
d	d	d
be	be	be
the	the	the

>	>	>
only	onli	only
one	one	one
having	have	having
trouble	troubl	trouble
.	.	.

i	i	i
'	'	'
d	d	d
like	like	like
some	some	some
advice	advic	advice
on	on	on
how	how	how
best	best	best
to	to	to
debug	debug	debug
this	this	this
.	.	.

>	>	>

>	>	>
the	the	the
symptom	symptom	symptom
:	:	:
when	when	when
i	i	i
try	tri	try
to	to	to
build	build	build
gcc	gcc	gcc
,	,	,
i	i	i
get	get	get
unpredictable	unpredict	unpredictable
and	and	and
unrepeatable	unrepeat	unrepeatable

>	>	>
results	result	result
.	.	.

sometimes	sometim	sometimes
a	a	a
.	.	.
o	o	o
file	file	file
is	is	is
not	not	not
in	in	in
valid	valid	valid
a	a	a
.	.	.
out	out	out
format	format	format
.	.	.

recompiling	recompil	recompiling
the	the	the

>	>	>
file	file	file
gives	give	give
me	me	me
a	a	a
valid	valid	valid
binary	binari	binary
.	.	.

sometimes	sometim	sometimes
the	the	the
compiler	compil	compiler
aborts	abort	abort
or	or	or
dumps	dump	dump
core	core	core
,	,	,
>	>	>
but	but	but
works	work	work
fine	fine	fine
when	when	when
run	run	run
again	again	again
with	with	with
the	the	the
same	same	same
input	input	input
.	.	.

compiling	compil	compiling
the	the	the
same	same	same

>	>	>
source	sourc	source
files	file	file
with	with	with
the	the	the
same	same	same
arguments	argument	argument
gives	give	give
slight	slight	slight
differences	differ	difference
in	in	in
a	a	a
few	few	few

>	>	>
object	object	object
files	file	file
.	.	.

(	(	(
note	note	note
that	that	that
linux	linux	linux
,	,	,
unlike	unlik	unlike
many	mani	many
other	other	other
systems	system	system
,	,	,
does	doe	doe
not	not	not
put	put	put

>	>	>
timestamps	timestamp	timestamps
in	in	in
object	object	object
files	file	file
so	so	so
compiling	compil	compiling
twice	twice	twice
should	should	should
give	give	give
bit	bit	bit
-	-	-
identical	ident	identical

>	>	>
results	result	result
.	.	.
)	)	)

>	>	>

>	>	>
i	i	i
also	also	also
have	have	have
occasional	occasion	occasional
filesystem	filesystem	filesystem
corruption	corrupt	corruption
on	on	on
my	my	my
scsi	scsi	scsi
drive	drive	drive
,	,	,
but	but	but
that	that	that

>	>	>
could	could	could
be	be	be
caused	caus	caused
by	by	by
using	use	using
development	develop	development
software	softwar	software
.	.	.

it	it	it
could	could	could
also	also	also
be	be	be
related	relat	related
to	to	to

>	>	>
my	my	my
problems	problem	problem
compiling	compil	compiling
.	.	.

the	the	the
compile	compil	compile
problems	problem	problem
are	are	are
not	not	not
caused	caus	caused
by	by	by
disk	disk	disk

>	>	>
problems	problem	problem
:	:	:
i	i	i
get	get	get
the	the	the
same	same	same
results	result	result
whether	whether	whether
i	i	i
do	do	do
my	my	my
work	work	work
on	on	on
an	an	an
ide	ide	ide
or	or	or
scsi	scsi	scsi

>	>	>
disk	disk	disk
.	.	.

>	>	>

>	>	>
i	i	i
'	'	'
ve	ve	ve
set	set	set
the	the	the
memory	memori	memory
speed	speed	speed
and	and	and
cache	cach	cache
write	write	write
speed	speed	speed
to	to	to
the	the	the
recommended	recommend	recommended
values	valu	value
.	.	.

recommended	recommend	recommended
for	for	for
what	what	what
,	,	,
dos	dos	do
?	?	?

that	that	that
is	is	is
a	a	a
junk	junk	junk
.	.	.

>	>	>

>	>	>
i	i	i
suspect	suspect	suspect
the	the	the
external	extern	external
cache	cach	cache
,	,	,
but	but	but
i	i	i
have	have	have
no	no	no
real	real	real
evidence	evid	evidence
for	for	for
this	this	this
.	.	.

>	>	>

>	>	>
the	the	the
motherboard	motherboard	motherboard
is	is	is
a	a	a
nice	nice	nice
super	super	super
-	-	-
eisa	eisa	eisa
with	with	with
256	256	256
kb	kb	kb
write	write	write
-	-	-
back	back	back
cache	cach	cache
and	and	and
a	a	a
dx	dx	dx
/	/	/
2	2	2

>	>	>
66	66	66
mhz	mhz	mhz
processor	processor	processor
.	.	.

>	>	>

>	>	>
what	what	what
i	i	i
'	'	'
m	m	m
looking	look	looking
for	for	for
:	:	:

>	>	>

>	>	>
.	.	.

a	a	a
system	system	system
test	test	test
program	program	program
to	to	to
run	run	run
under	under	under
dos	dos	do
or	or	or
linux	linux	linux

linux	linux	linux
+	+	+
gcc	gcc	gcc
.	.	.

fire	fire	fire
up	up	up
gcc	gcc	gcc
to	to	to
compile	compil	compile
libc	libc	libc
and	and	and
kernel	kernel	kernel
at	at	at
the	the	the

same	same	same
time	time	time
running	run	running
x11r5	x11r5	x11r5
.	.	.

>	>	>

>	>	>
.	.	.

suggestions	suggest	suggestion
about	about	about
the	the	the
cause	caus	cause
of	of	of
the	the	the
problem	problem	problem

bad	bad	bad
memory	memori	memory
,	,	,
bad	bad	bad
motherboard	motherboard	motherboard
,	,	,
bad	bad	bad
cache	cach	cache
.	.	.

>	>	>

>	>	>
.	.	.

suggestions	suggest	suggestion
about	about	about
how	how	how
to	to	to
debug	debug	debug
the	the	the
problem	problem	problem

>	>	>

change	chang	change
wait	wait	wait
state	state	state
of	of	of
ram	ram	ram
.	.	.

turn	turn	turn
off	off	off
turbo	turbo	turbo
.	.	.

change	chang	change
bus	bus	bus
speed	speed	speed

swap	swap	swap
ram	ram	ram
.	.	.

h	h	h
.	.	.
j	j	j
.	.	.
