from	from	from
:	:	:
mep@phoenix.oulu.fi	mep@phoenix.oulu.fi	mep@phoenix.oulu.fi
(	(	(
marko	marko	marko
poutiainen	poutiainen	poutiainen
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
finland	finland	finland
/	/	/
sweden	sweden	sweden
vs	vs	v
.	.	.
nhl	nhl	nhl
teams	team	team
(	(	(
was	was	wa
:	:	:
helsinki	helsinki	helsinki
/	/	/
stockholm	stockholm	stockholm
&	&	&
nh	nh	nh

organization	organ	organization
:	:	:
university	univers	university
of	of	of
oulu	oulu	oulu
,	,	,
finland	finland	finland

x	x	x
-	-	-
newsreader	newsread	newsreader
:	:	:
tin	tin	tin
[	[	[
version	version	version
1	1	1
.	.	.
1	1	1
pl6	pl6	pl6
]	]	]

lines	line	line
:	:	:
24	24	24

:	:	:
you	you	you
mention	mention	mention
could	could	could
cut	cut	cut
it	it	it
as	as	a
stars	star	star
in	in	in
the	the	the
nhl	nhl	nhl
!	!	!

even	even	even
"	"	"
rexi	rexi	rexi
"	"	"
in	in	in
his	his	his
prime	prime	prime
was	was	wa
more	more	more

:	:	:
of	of	of
a	a	a
good	good	good
regular	regular	regular
in	in	in
new	new	new
york	york	york
/	/	/
edmonton	edmonton	edmonton
than	than	than
a	a	a
superstar	superstar	superstar
in	in	in
his	his	his
own	own	own
right	right	right
,	,	,
:	:	:
although	although	although
some	some	some
blamed	blame	blamed
that	that	that
on	on	on
lack	lack	lack
of	of	of
effort	effort	effort
on	on	on
his	his	his
behalf	behalf	behalf
.	.	.

:	:	:
i	i	i
think	think	think
that	that	that
the	the	the
ny	ny	ny
management	manag	management
made	made	made
a	a	a
mistake	mistak	mistake
,	,	,
and	and	and
remember	rememb	remember
how	how	how
edmonton	edmonton	edmonton
called	call	called
reksa	reksa	reksa
in	in	in
the	the	the
middle	middl	middle
of	of	of
the	the	the
season	season	season
to	to	to
win	win	win
the	the	the
cup	cup	cup
?	?	?

why	whi	why
did	did	did
they	they	they
call	call	call
him	him	him
?	?	?

:	:	:
yeah	yeah	yeah
,	,	,
we	we	we
'	'	'
ve	ve	ve
had	had	had
