from	from	from
:	:	:
hk.mlr@forsythe.stanford.edu	hk.mlr@forsythe.stanford.edu	hk.mlr@forsythe.stanford.edu
(	(	(
mark	mark	mark
rogowsky	rogowski	rogowsky
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
powerpc	powerpc	powerpc
ruminations	rumin	rumination
;	;	;
was	was	wa
re	re	re
:	:	:
lciii	lciii	lciii
-	-	-
>	>	>
powerpc	powerpc	powerpc
?	?	?

organization	organ	organization
:	:	:
stanford	stanford	stanford
university	univers	university

lines	line	line
:	:	:
97	97	97

distribution	distribut	distribution
:	:	:
usa	usa	usa

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
morrow	morrow	morrow
.	.	.
stanford	stanford	stanford
.	.	.
edu	edu	edu

in	in	in
article	articl	article
<	<	<
1993apr16.214300.12920@ac.dal.ca	1993apr16.214300.12920@ac.dal.ca	1993apr16.214300.12920@ac.dal.ca
>	>	>
,	,	,
seanmcd@ac.dal.ca	seanmcd@ac.dal.ca	seanmcd@ac.dal.ca
writes	write	writes
:	:	:

>	>	>
in	in	in
article	articl	article
<	<	<
186177@pyramid.pyramid.com	186177@pyramid.pyramid.com	186177@pyramid.pyramid.com
>	>	>
,	,	,
andrem@pyrtech.mis.pyramid.com	andrem@pyrtech.mis.pyramid.com	andrem@pyrtech.mis.pyramid.com
(	(	(
andre	andr	andre
molyneux	molyneux	molyneux
)	)	)
writes	write	writes
:	:	:

>	>	>
>	>	>
in	in	in
article	articl	article
<	<	<
1qksuq	1qksuq	1qksuq
$	$	$
1tt8@hal.gnu.ai.mit.edu	1tt8@hal.gnu.ai.mit.edu	1tt8@hal.gnu.ai.mit.edu
>	>	>
,	,	,
mirsky@hal.gnu.ai.mit.edu	mirsky@hal.gnu.ai.mit.edu	mirsky@hal.gnu.ai.mit.edu

>	>	>
>	>	>
(	(	(
david	david	david
joshua	joshua	joshua
mirsky	mirski	mirsky
)	)	)
writes	write	writes
:	:	:

>	>	>
>	>	>
|	|	|
>	>	>
hi	hi	hi
.	.	.
i	i	i
own	own	own
an	an	an
lciii	lciii	lciii
and	and	and
i	i	i
recently	recent	recently
heard	heard	heard
an	an	an
interesting	interest	interesting
rumor	rumor	rumor
.	.	.

>	>	>
>	>	>
|	|	|
>	>	>
i	i	i
heard	heard	heard
that	that	that
the	the	the
lciii	lciii	lciii
has	has	ha
a	a	a
built	built	built
in	in	in
slot	slot	slot
for	for	for
a	a	a
powerpc	powerpc	powerpc
chip	chip	chip
.	.	.

>	>	>
>	>	>
|	|	|
>	>	>
is	is	is
this	this	this
true	true	true
?	?	?

i	i	i
heard	heard	heard
that	that	that
the	the	the
slot	slot	slot
is	is	is
not	not	not
the	the	the
same	same	same
as	as	a
the	the	the
pds	pds	pd

>	>	>
>	>	>
|	|	|
>	>	>
slot	slot	slot
.	.	.

is	is	is
that	that	that
true	true	true
?	?	?

>	>	>
>	>	>
|	|	|
>	>	>

>	>	>
>	>	>
|	|	|
>	>	>
thanks	thank	thanks

>	>	>
>	>	>
|	|	|
>	>	>
david	david	david
mirsky	mirski	mirsky

>	>	>
>	>	>
|	|	|
>	>	>
mirsky@gnu.ai.mit.edu	mirsky@gnu.ai.mit.edu	mirsky@gnu.ai.mit.edu

>	>	>
>	>	>

>	>	>
>	>	>
well	well	well
,	,	,
i	i	i
also	also	also
have	have	have
an	an	an
lc	lc	lc
iii	iii	iii
.	.	.

popping	pop	popping
the	the	the
top	top	top
revealed	reveal	revealed
:	:	:

>	>	>
>	>	>

>	>	>
>	>	>
one	one	one
"	"	"
socket	socket	socket
"	"	"
for	for	for
an	an	an
additional	addit	additional
vram	vram	vram
simm	simm	simm

>	>	>
>	>	>

>	>	>
>	>	>
one	one	one
"	"	"
socket	socket	socket
"	"	"
for	for	for
a	a	a
72	72	72
-	-	-
pin	pin	pin
ram	ram	ram
simm	simm	simm

>	>	>
>	>	>

>	>	>
>	>	>
one	one	one
socket	socket	socket
for	for	for
a	a	a
flat	flat	flat
-	-	-
pack	pack	pack
fpu	fpu	fpu

>	>	>
>	>	>

>	>	>
>	>	>
a	a	a
processor	processor	processor
-	-	-
direct	direct	direct
slot	slot	slot
(	(	(
pds	pds	pd
)	)	)
identical	ident	identical
to	to	to
the	the	the
lc	lc	lc
/	/	/
lc	lc	lc
ii	ii	ii
,	,	,
but	but	but
with	with	with

>	>	>
>	>	>
an	an	an
additional	addit	additional
set	set	set
of	of	of
connetions	connet	connetions
to	to	to
one	one	one
side	side	side
(	(	(
for	for	for
the	the	the
full	full	full
32	32	32
-	-	-
bit	bit	bit

>	>	>
>	>	>
data	data	data
path	path	path
that	that	that
the	the	the
lc	lc	lc
/	/	/
lc	lc	lc
ii	ii	ii
lacked	lack	lacked

>	>	>
>	>	>

>	>	>
>	>	>
that	that	that
'	'	'
s	s	s
it	it	it
.	.	.

i	i	i
guess	guess	guess
a	a	a
board	board	board
with	with	with
a	a	a
powerpc	powerpc	powerpc
chip	chip	chip
could	could	could
be	be	be
made	made	made
that	that	that
would	would	would
fit	fit	fit

>	>	>
>	>	>
in	in	in
the	the	the
pds	pds	pd
,	,	,
but	but	but
that	that	that
'	'	'
s	s	s
the	the	the
only	onli	only
place	place	place
.	.	.

>	>	>
>	>	>

>	>	>
so	so	so
,	,	,
will	will	will
it	it	it
be	be	be
possible	possibl	possible
to	to	to
have	have	have
a	a	a
nubus	nubus	nubus
or	or	or
pds	pds	pd
powerpc	powerpc	powerpc
upgrade	upgrad	upgrade
,	,	,
or	or	or
will	will	will
it	it	it

>	>	>
require	requir	require
a	a	a
logic	logic	logic
board	board	board
swap	swap	swap
?	?	?

it	it	it
would	would	would
be	be	be
interesting	interest	interesting
for	for	for
apple	appl	apple
to	to	to
come	come	come
out	out	out
with	with	with

>	>	>
a	a	a
nubus	nubus	nubus
powerpc	powerpc	powerpc
that	that	that
allowed	allow	allowed
use	use	use
of	of	of
the	the	the
cpu	cpu	cpu
'	'	'
s	s	s
680x0	680x0	680x0
,	,	,
like	like	like
rocketshare	rocketshar	rocketshare
.	.	.

but	but	but
i	i	i

>	>	>
guess	guess	guess
that	that	that
'	'	'
s	s	s
getting	get	getting
a	a	a
bit	bit	bit
fantastic	fantast	fantastic
!	!	!

>	>	>

>	>	>
i	i	i
was	was	wa
wondering	wonder	wondering
,	,	,
since	sinc	since
macweek	macweek	macweek
reported	report	reported
that	that	that
developers	develop	developer
were	were	were
'	'	'
seeded	seed	seeded
'	'	'
with	with	with

>	>	>
powerpcs	powerpc	powerpcs
on	on	on
a	a	a
nubus	nubus	nubus
card	card	card
.	.	.

>	>	>

>	>	>
also	also	also
,	,	,
any	ani	any
word	word	word
on	on	on
machine	machin	machine
arrivals	arriv	arrival
or	or	or
estimated	estim	estimated
speed	speed	speed
?	?	?

last	last	last
i	i	i
heard	heard	heard
,	,	,
the	the	the

>	>	>
estimates	estim	estimate
were	were	were
around	around	around
3	3	3
-	-	-
4	4	4
times	time	time
the	the	the
speed	speed	speed
of	of	of
a	a	a
quadra	quadra	quadra
in	in	in
native	nativ	native
risc	risc	risc
mode	mode	mode
.	.	.

i	i	i

>	>	>
heard	heard	heard
an	an	an
apple	appl	apple
employee	employe	employee
mumble	mumbl	mumble
something	someth	something
about	about	about
the	the	the
arrival	arriv	arrival
of	of	of
powerpc	powerpc	powerpc
machines	machin	machine

>	>	>
at	at	at
a	a	a
much	much	much
earlier	earlier	earlier
date	date	date
that	that	that
q1	q1	q1
94	94	94
,	,	,
but	but	but
i	i	i
doubt	doubt	doubt
it	it	it
'	'	'
s	s	s
true	true	true
.	.	.

>	>	>

>	>	>
finally	final	finally
,	,	,
is	is	is
the	the	the
powerpc	powerpc	powerpc
developer	develop	developer
'	'	'
s	s	s
cd	cd	cd
'	'	'
mini	mini	mini
-	-	-
course	cours	course
'	'	'
available	avail	available
?	?	?

i	i	i
saw	saw	saw
it	it	it

>	>	>
advertised	advertis	advertised
in	in	in
the	the	the
developer	develop	developer
'	'	'
s	s	s
university	univers	university
calendar	calendar	calendar
,	,	,
and	and	and
i	i	i
'	'	'
d	d	d
like	like	like
to	to	to
know	know	know
if	if	if
it	it	it
'	'	'
s	s	s

>	>	>
at	at	at
all	all	all
*	*	*
interesting	interest	interesting
*	*	*
.	.	.

>	>	>

>	>	>
sean	sean	sean

>	>	>
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-

>	>	>
seanmcd@ac.dal.ca	seanmcd@ac.dal.ca	seanmcd@ac.dal.ca

radius	radius	radius
speculated	specul	speculated
,	,	,
publicly	public	publicly
,	,	,
that	that	that
they	they	they
could	could	could
provide	provid	provide
a	a	a
powerpc	powerpc	powerpc
-	-	-
based	base	based
rocket	rocket	rocket
for	for	for
existing	exist	existing
macs	mac	mac
.	.	.

it	it	it
would	would	would
have	have	have
the	the	the
plus	plus	plus
of	of	of
rocketshare	rocketshar	rocketshare
and	and	and
the	the	the
minus	minus	minus
of	of	of
nubus	nubus	nubus
accelerators	acceler	accelerator
-	-	-
no	no	no
true	true	true
boot	boot	boot
off	off	off
the	the	the
accelerator	acceler	accelerator
,	,	,
nubus	nubus	nubus
bottleneck	bottleneck	bottleneck
to	to	to
video	video	video
and	and	and
other	other	other
i	i	i
/	/	/
o	o	o
.	.	.

apple	appl	apple
,	,	,
it	it	it
seems	seem	seems
,	,	,
will	will	will
not	not	not
compete	compet	compete
with	with	with
third	third	third
parties	parti	party
here	here	here
-	-	-
-	-	-
except	except	except
perhaps	perhap	perhaps
for	for	for
not	not	not
-	-	-
yet	yet	yet
-	-	-
available	avail	available
macs	mac	mac
like	like	like
cyclone	cyclon	cyclone
,	,	,
where	where	where
a	a	a
powerpc	powerpc	powerpc
slot	slot	slot
might	might	might
be	be	be
advertised	advertis	advertised
.	.	.

look	look	look
for	for	for
daystar	daystar	daystar
and	and	and
such	such	such
to	to	to
make	make	make
powerpc	powerpc	powerpc
accelerators	acceler	accelerator
.	.	.

one	one	one
potential	potenti	potential
problem	problem	problem
with	with	with
any	ani	any
accelerator	acceler	accelerator
,	,	,
though	though	though
,	,	,
is	is	is
that	that	that
it	it	it
will	will	will
need	need	need
a	a	a
rom	rom	rom
companion	companion	companion
and	and	and
apple	appl	apple
has	has	ha
licensed	licens	licensed
only	onli	only
radius	radius	radius
,	,	,
with	with	with
rocketshare	rocketshar	rocketshare
,	,	,
to	to	to
use	use	use
any	ani	any
of	of	of
its	it	it
proprietary	proprietari	proprietary
code	code	code
.	.	.

apple	appl	apple
is	is	is
,	,	,
between	between	between
the	the	the
lines	line	line
,	,	,
trying	tri	trying
to	to	to
let	let	let
us	us	u
know	know	know
that	that	that
powerpc	powerpc	powerpc
macs	mac	mac
will	will	will
have	have	have
simplified	simplifi	simplified
logic	logic	logic
boards	board	board
due	due	due
to	to	to
the	the	the
magical	magic	magical
nature	natur	nature
of	of	of
risc	risc	risc
and	and	and
that	that	that
these	these	these
boards	board	board
should	should	should
be	be	be
much	much	much
cheaper	cheaper	cheaper
to	to	to
build	build	build
than	than	than
those	those	those
in	in	in
existing	exist	existing
68040	68040	68040
macs	mac	mac
.	.	.

perhaps	perhap	perhaps
,	,	,
then	then	then
,	,	,
we	we	we
'	'	'
ll	ll	ll
see	see	see
groundbreaking	groundbreak	groundbreaking
prices	price	price
in	in	in
mac	mac	mac
-	-	-
logic	logic	logic
board	board	board
upgrades	upgrad	upgrade
,	,	,
much	much	much
the	the	the
same	same	same
way	way	way
we	we	we
'	'	'
ve	ve	ve
seen	seen	seen
much	much	much
cheaper	cheaper	cheaper
high	high	high
-	-	-
performance	perform	performance
cpus	cpus	cpu
this	this	this
year	year	year
.	.	.

first	first	first
generation	generat	generation
powerpcs	powerpc	powerpcs
,	,	,
98601s	98601s	98601s
,	,	,
will	will	will
also	also	also
hopefully	hope	hopefully
have	have	have
socketed	socket	socketed
cpus	cpus	cpu
so	so	so
that	that	that
they	they	they
'	'	'
ll	ll	ll
be	be	be
chip	chip	chip
upgradeable	upgrad	upgradeable
to	to	to
98604s	98604s	98604s
a	a	a
year	year	year
later	later	later
.	.	.

this	this	this
should	should	should
be	be	be
possible	possibl	possible
in	in	in
much	much	much
the	the	the
same	same	same
way	way	way
that	that	that
486s	486s	486s
can	can	can
be	be	be
pulled	pull	pulled
for	for	for
clock	clock	clock
doublers	doubler	doubler
.	.	.

if	if	if
there	there	there
is	is	is
too	too	too
much	much	much
technical	technic	technical
baggage	baggag	baggage
(	(	(
which	which	which
i	i	i
doubt	doubt	doubt
since	sinc	since
the	the	the
external	extern	external
busses	buss	bus
are	are	are
the	the	the
same	same	same
size	size	size
/	/	/
width	width	width
)	)	)
to	to	to
do	do	do
this	this	this
,	,	,
perhaps	perhap	perhaps
we	we	we
can	can	can
have	have	have
cpu	cpu	cpu
daughterboard	daughterboard	daughterboard
,	,	,
a	a	a
la	la	la
powerbook	powerbook	powerbook
,	,	,
as	as	a
standard	standard	standard
to	to	to
facilitate	facilit	facilitate
better	better	better
cpu	cpu	cpu
upgrades	upgrad	upgrade
.	.	.

this	this	this
is	is	is
an	an	an
area	area	area
where	where	where
apple	appl	apple
has	has	ha
fallen	fallen	fallen
far	far	far
behing	behe	behing
the	the	the
intel	intel	intel
-	-	-
based	base	based
world	world	world
.	.	.

perhaps	perhap	perhaps
catchup	catchup	catchup
is	is	is
in	in	in
order	order	order
.	.	.

by	by	by
the	the	the
way	way	way
,	,	,
last	last	last
week	week	week
'	'	'
s	s	s
pc	pc	pc
week	week	week
had	had	had
an	an	an
excellent	excel	excellent
story	stori	story
on	on	on
powerpc	powerpc	powerpc
,	,	,
pentium	pentium	pentium
,	,	,
mips	mip	mips
r4000	r4000	r4000
,	,	,
dec	dec	dec
alpha	alpha	alpha
(	(	(
the	the	the
big	big	big
four	four	four
on	on	on
the	the	the
microprocessor	microprocessor	microprocessor
front	front	front
for	for	for
the	the	the
forseeable	forseeabl	forseeable
future	futur	future
)	)	)
.	.	.

worth	worth	worth
reading	read	reading
for	for	for
technojunkies	technojunki	technojunkies
.	.	.

also	also	also
,	,	,
the	the	the
latest	latest	latest
pc	pc	pc
has	has	ha
a	a	a
cover	cover	cover
story	stori	story
on	on	on
pentium	pentium	pentium
.	.	.

read	read	read
it	it	it
,	,	,
and	and	and
all	all	all
the	the	the
other	other	other
stories	stori	story
about	about	about
how	how	how
intel	intel	intel
is	is	is
unstoppable	unstopp	unstoppable
and	and	and
preeminent	preemin	preeminent
right	right	right
now	now	now
.	.	.

once	onc	once
anyone	anyon	anyone
is	is	is
this	this	this
secure	secur	secure
,	,	,
they	they	they
are	are	are
due	due	due
to	to	to
fall	fall	fall
.	.	.

intel	intel	intel
'	'	'
s	s	s
market	market	market
position	posit	position
will	will	will
never	never	never
again	again	again
be	be	be
as	as	a
dominant	domin	dominant
as	as	a
it	it	it
is	is	is
today	today	today
(	(	(
especially	especi	especially
if	if	if
amd	amd	amd
gets	get	get
the	the	the
go	go	go
ahead	ahead	ahead
to	to	to
sell	sell	sell
its	it	it
486s	486s	486s
this	this	this
week	week	week
as	as	a
it	it	it
appears	appear	appears
it	it	it
might	might	might
)	)	)
.	.	.

the	the	the
competition	competit	competition
from	from	from
all	all	all
fronts	front	front
is	is	is
gearing	gear	gearing
up	up	up
for	for	for
an	an	an
awesome	awesom	awesome
battle	battl	battle
.	.	.

apple	appl	apple
users	user	user
should	should	should
be	be	be
excited	excit	excited
that	that	that
powerpc	powerpc	powerpc
,	,	,
while	while	while
not	not	not
guaranteed	guarante	guaranteed
dominance	domin	dominance
,	,	,
is	is	is
a	a	a
guaranteed	guarante	guaranteed
winner	winner	winner
,	,	,
even	even	even
if	if	if
its	it	it
one	one	one
of	of	of
several	sever	several
.	.	.

mark	mark	mark
