from	from	from
:	:	:
perlman@qso.colorado.edu	perlman@qso.colorado.edu	perlman@qso.colorado.edu
(	(	(
eric	eric	eric
s	s	s
.	.	.

perlman	perlman	perlman
)	)	)
subject	subject	subject
:	:	:
re	re	re
:	:	:
who	who	who
should	should	should
be	be	be
spied	spi	spied
on	on	on
.	.	.
.	.	.
.	.	.

keywords	keyword	keywords
:	:	:
hypocritical	hypocrit	hypocritical
pig	pig	pig

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
qso	qso	qso
.	.	.
colorado	colorado	colorado
.	.	.
edu	edu	edu

organization	organ	organization
:	:	:
university	univers	university
of	of	of
colorado	colorado	colorado
,	,	,
boulder	boulder	boulder

lines	line	line
:	:	:
49	49	49

in	in	in
article	articl	article
<	<	<
c5vzdv.mxw.1@cs.cmu.edu	c5vzdv.mxw.1@cs.cmu.edu	c5vzdv.mxw.1@cs.cmu.edu
>	>	>
anwar+@cs.cmu.edu	anwar+@cs.cmu.edu	anwar+@cs.cmu.edu
(	(	(
anwar	anwar	anwar
mohammed	moham	mohammed
)	)	)
writes	write	writes
:	:	:

>	>	>
in	in	in
article	articl	article
<	<	<
c5sdck.38n@news.cso.uiuc.edu	c5sdck.38n@news.cso.uiuc.edu	c5sdck.38n@news.cso.uiuc.edu
>	>	>
eshneken@ux4.cso.uiuc.edu	eshneken@ux4.cso.uiuc.edu	eshneken@ux4.cso.uiuc.edu
(	(	(
edward	edward	edward
a	a	a
shnekendorf	shnekendorf	shnekendorf
)	)	)
writes	write	writes
:	:	:

>	>	>
>	>	>
anwar+@cs.cmu.edu	anwar+@cs.cmu.edu	anwar+@cs.cmu.edu
(	(	(
anwar	anwar	anwar
mohammed	moham	mohammed
)	)	)
writes	write	writes
:	:	:

>	>	>
>	>	>

>	>	>
>	>	>
>	>	>
in	in	in
article	articl	article
<	<	<
4815@bimacs.bitnet	4815@bimacs.bitnet	4815@bimacs.bitnet
>	>	>
ehrlich@bimacs.bitnet	ehrlich@bimacs.bitnet	ehrlich@bimacs.bitnet
(	(	(
gideon	gideon	gideon
ehrlich	ehrlich	ehrlich
)	)	)
writes	write	writes
:	:	:

>	>	>
>	>	>
>	>	>
>	>	>
the	the	the
readers	reader	reader
of	of	of
this	this	this
forum	forum	forum
seemed	seem	seemed
to	to	to
be	be	be
more	more	more
interested	interest	interested
in	in	in
the	the	the
contents	content	content

>	>	>
>	>	>
>	>	>
>	>	>
of	of	of
those	those	those
files	file	file
.	.	.

>	>	>
>	>	>
>	>	>
>	>	>
so	so	so
it	it	it
will	will	will
be	be	be
nice	nice	nice
if	if	if
yigal	yigal	yigal
will	will	will
tell	tell	tell
us	us	u
:	:	:

>	>	>
>	>	>
>	>	>
>	>	>
1	1	1
.	.	.

why	whi	why
do	do	do
american	american	american
authorities	author	authority
consider	consid	consider
yigal	yigal	yigal
arens	aren	arens
to	to	to
be	be	be
dangerous	danger	dangerous
?	?	?

>	>	>
>	>	>

>	>	>
>	>	>
>	>	>
adl	adl	adl
authorities	author	authority
seem	seem	seem
to	to	to
view	view	view
a	a	a
lot	lot	lot
of	of	of
people	peopl	people
as	as	a
dangerous	danger	dangerous
,	,	,
including	includ	including

>	>	>
>	>	>
>	>	>
the	the	the
millions	million	million
of	of	of
americans	american	american
of	of	of
arab	arab	arab
ancestry	ancestri	ancestry
.	.	.

perhaps	perhap	perhaps
you	you	you
can	can	can
answer	answer	answer

>	>	>
>	>	>
>	>	>
the	the	the
question	question	question
as	as	a
to	to	to
why	whi	why
the	the	the
adl	adl	adl
maintained	maintain	maintained
files	file	file
and	and	and
spied	spi	spied
on	on	on
adc	adc	adc
members	member	member

>	>	>
>	>	>
>	>	>
in	in	in
california	california	california
(	(	(
and	and	and
elsewhere	elsewher	elsewhere
?	?	?
?	?	?
)	)	)
?	?	?

friendly	friend	friendly
rivalry	rivalri	rivalry
perhaps	perhap	perhaps
?	?	?

>	>	>
>	>	>

>	>	>
>	>	>
come	come	come
on	on	on
!	!	!

most	most	most
if	if	if
not	not	not
all	all	all
arabs	arab	arab
are	are	are
sympathetic	sympathet	sympathetic
to	to	to
the	the	the
palestinian	palestinian	palestinian
war	war	war

>	>	>
>	>	>
against	against	against
israel	israel	israel
.	.	.

that	that	that
is	is	is
why	whi	why
the	the	the
adl	adl	adl
monitors	monitor	monitor
arab	arab	arab
organizations	organ	organization
.	.	.

that	that	that
is	is	is

>	>	>
>	>	>
the	the	the
same	same	same
reason	reason	reason
the	the	the
us	us	u
monitored	monitor	monitored
communist	communist	communist
organizations	organ	organization
and	and	and
soviet	soviet	soviet
nationals	nation	national

>	>	>
>	>	>
only	onli	only
a	a	a
few	few	few
years	year	year
ago	ago	ago
.	.	.

>	>	>
>	>	>

>	>	>

>	>	>
the	the	the
adc	adc	adc
is	is	is
an	an	an
organization	organ	organization
of	of	of
arab	arab	arab
-	-	-
*	*	*
americans	american	american
*	*	*
.	.	.

>	>	>

>	>	>
let	let	let
me	me	me
see	see	see
.	.	.
.	.	.
.	.	.
you	you	you
'	'	'
re	re	re
saying	say	saying
that	that	that
"	"	"
most	most	most
if	if	if
not	not	not
all	all	all
"	"	"
arab	arab	arab
-	-	-
americans	american	american
should	should	should
be	be	be

>	>	>
spied	spi	spied
on	on	on
?	?	?

you	you	you
'	'	'
re	re	re
also	also	also
saying	say	saying
that	that	that
"	"	"
most	most	most
if	if	if
not	not	not
all	all	all
"	"	"
arab	arab	arab
-	-	-
americans	american	american

>	>	>
should	should	should
be	be	be
views	view	view
as	as	a
a	a	a
national	nation	national
security	secur	security
threat	threat	threat
to	to	to
israel	israel	israel
(	(	(
and	and	and
the	the	the
us	us	u
,	,	,

>	>	>
as	as	a
you	you	you
