from	from	from
:	:	:
clark@thinker.csee.usf.edu	clark@thinker.csee.usf.edu	clark@thinker.csee.usf.edu
(	(	(
matthew	matthew	matthew
clark	clark	clark
)	)	)

subject	subject	subject
:	:	:
changing	chang	changing
olwm	olwm	olwm
icons	icon	icon

organization	organ	organization
:	:	:
university	univers	university
of	of	of
south	south	south
florida	florida	florida
,	,	,
department	depart	department
of	of	of
computer	comput	computer
science	scienc	science
and	and	and
engineering	engin	engineering

lines	line	line
:	:	:
8	8	8

distribution	distribut	distribution
:	:	:
world	world	world

reply	repli	reply
-	-	-
to	to	to
:	:	:
clark@thinker.csee.usf.edu	clark@thinker.csee.usf.edu	clark@thinker.csee.usf.edu
(	(	(
matthew	matthew	matthew
clark	clark	clark
)	)	)

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
131	131	131
.	.	.
247	247	247
.	.	.
2	2	2
.	.	.
37	37	37

i	i	i
was	was	wa
wondering	wonder	wondering
if	if	if
it	it	it
'	'	'
s	s	s
possible	possibl	possible
to	to	to
change	chang	change
the	the	the
window	window	window
icons	icon	icon
olwm	olwm	olwm
uses	use	us
for	for	for
things	thing	thing
like	like	like
xterm	xterm	xterm
.	.	.

most	most	most
of	of	of
the	the	the
defaults	default	default
are	are	are
pretty	pretti	pretty
lame	lame	lame
.	.	.

any	ani	any
answer	answer	answer
(	(	(
or	or	or
where	where	where
i	i	i
can	can	can
find	find	find
one	one	one
)	)	)
would	would	would
be	be	be
most	most	most
appreciated	appreci	appreciated
.	.	.

thanks	thank	thanks

matt	matt	matt
clark	clark	clark
