from	from	from
:	:	:
livesey@solntze.wpd.sgi.com	livesey@solntze.wpd.sgi.com	livesey@solntze.wpd.sgi.com
(	(	(
jon	jon	jon
livesey	livesey	livesey
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
morality	moral	morality
?	?	?

(	(	(
was	was	wa
re	re	re
:	:	:
<	<	<
political	polit	political
atheists	atheist	atheist
?	?	?
)	)	)
organization	organ	organization
:	:	:
sgi	sgi	sgi
lines	line	line
:	:	:
47	47	47
distribution	distribut	distribution
:	:	:
world	world	world
nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
solntze	solntz	solntze
.	.	.
wpd	wpd	wpd
.	.	.
sgi	sgi	sgi
.	.	.
com	com	com

in	in	in
article	articl	article
<	<	<
1ql667inn54a@gap.caltech.edu	1ql667inn54a@gap.caltech.edu	1ql667inn54a@gap.caltech.edu
>	>	>
,	,	,
keith@cco.caltech.edu	keith@cco.caltech.edu	keith@cco.caltech.edu
(	(	(
keith	keith	keith
allan	allan	allan
schneider	schneider	schneider
)	)	)
writes	write	writes
:	:	:

|	|	|
>	>	>
livesey@solntze.wpd.sgi.com	livesey@solntze.wpd.sgi.com	livesey@solntze.wpd.sgi.com
(	(	(
jon	jon	jon
livesey	livesey	livesey
)	)	)
writes	write	writes
:	:	:

|	|	|
>	>	>

|	|	|
>	>	>
>	>	>
i	i	i
don	don	don
'	'	'
t	t	t
expect	expect	expect
the	the	the
lion	lion	lion
to	to	to
know	know	know
,	,	,
or	or	or
not	not	not
know	know	know
anything	anyth	anything
of	of	of
the	the	the
kind	kind	kind
.	.	.

|	|	|
>	>	>
>	>	>
in	in	in
fact	fact	fact
,	,	,
i	i	i
don	don	don
'	'	'
t	t	t
have	have	have
any	ani	any
evidence	evid	evidence
that	that	that
lions	lion	lion
ever	ever	ever
consider	consid	consider
such	such	such

|	|	|
>	>	>
>	>	>
issues	issu	issue
.	.	.

|	|	|
>	>	>
>	>	>
and	and	and
that	that	that
,	,	,
of	of	of
course	cours	course
,	,	,
is	is	is
why	whi	why
i	i	i
don	don	don
'	'	'
t	t	t
think	think	think
you	you	you
can	can	can
assign	assign	assign
moral	moral	moral

|	|	|
>	>	>
>	>	>
significance	signific	significance
to	to	to
the	the	the
instinctive	instinct	instinctive
behaviour	behaviour	behaviour
of	of	of
lions	lion	lion
.	.	.

|	|	|
>	>	>

|	|	|
>	>	>
what	what	what
i	i	i
'	'	'
ve	ve	ve
been	been	been
saying	say	saying
is	is	is
that	that	that
moral	moral	moral
behavior	behavior	behavior
is	is	is
likely	like	likely
the	the	the
null	null	null
behavior	behavior	behavior
.	.	.

|	|	|
>	>	>
that	that	that
is	is	is
,	,	,
it	it	it
doesn	doesn	doesn
'	'	'
t	t	t
take	take	take
much	much	much
work	work	work
to	to	to
be	be	be
moral	moral	moral
,	,	,
but	but	but
it	it	it
certainly	certain	certainly
does	doe	doe
to	to	to

|	|	|
>	>	>
be	be	be
immoral	immor	immoral
(	(	(
in	in	in
some	some	some
cases	case	case
)	)	)
.	.	.

that	that	that
'	'	'
s	s	s
the	the	the
craziest	craziest	craziest
thing	thing	thing
i	i	i
ever	ever	ever
heard	heard	heard
.	.	.

are	are	are
you	you	you
serious	serious	serious
?	?	?

"	"	"
it	it	it
doesn	doesn	doesn
'	'	'
t	t	t
take	take	take
much	much	much
work	work	work
to	to	to
be	be	be
moral	moral	moral
?	?	?
"	"	"

|	|	|
>	>	>
also	also	also
,	,	,
i	i	i
'	'	'
ve	ve	ve
said	said	said
that	that	that
morality	moral	morality
is	is	is
a	a	a
