from	from	from
:	:	:
cka52397@uxa.cso.uiuc.edu	cka52397@uxa.cso.uiuc.edu	cka52397@uxa.cso.uiuc.edu
(	(	(
oriolefan	oriolefan	oriolefan
@	@	@
uiuc	uiuc	uiuc
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
dumbest	dumbest	dumbest
automotive	automot	automotive
concepts	concept	concept
of	of	of
all	all	all
time	time	time

article	articl	article
-	-	-
i	i	i
.	.	.
d	d	d
.	.	.
:	:	:
news	news	news
.	.	.
c5jnk3	c5jnk3	c5jnk3
.	.	.
jkt	jkt	jkt

organization	organ	organization
:	:	:
university	univers	university
of	of	of
illinois	illinoi	illinois
at	at	at
urbana	urbana	urbana

lines	line	line
:	:	:
39	39	39

parr@acs.ucalgary.ca	parr@acs.ucalgary.ca	parr@acs.ucalgary.ca
(	(	(
charles	charl	charles
parr	parr	parr
)	)	)
writes	write	writes
:	:	:

>	>	>
in	in	in
article	articl	article
<	<	<
1327@qa1.wichitaks.ncr.com	1327@qa1.wichitaks.ncr.com	1327@qa1.wichitaks.ncr.com
>	>	>
jhart@qa1.wichitaks.ncr.com	jhart@qa1.wichitaks.ncr.com	jhart@qa1.wichitaks.ncr.com
(	(	(
jim	jim	jim
hart	hart	hart
)	)	)
writes	write	writes
:	:	:

>	>	>
>	>	>
in	in	in
article	articl	article
<	<	<
1993mar29.161044.1@uncavx.unca.edu	1993mar29.161044.1@uncavx.unca.edu	1993mar29.161044.1@uncavx.unca.edu
>	>	>
bwillard@uncavx.unca.edu	bwillard@uncavx.unca.edu	bwillard@uncavx.unca.edu

>	>	>
>	>	>
writes	write	writes
:	:	:

>	>	>
>	>	>
>	>	>
my	my	my
top	top	top
10	10	10
list	list	list
of	of	of
dumbest	dumbest	dumbest
automotive	automot	automotive
concepts	concept	concept
ever	ever	ever

>	>	>
>	>	>
>	>	>

>	>	>
>	>	>
>	>	>
10	10	10
.	.	.

1984	1984	1984
dodge	dodg	dodge
colt	colt	colt
vista	vista	vista
-	-	-
tachometer	tachomet	tachometer
only	onli	only
avail	avail	avail
.	.	.

with	with	with
automatic	automat	automatic
trans	tran	trans
.	.	.

>	>	>
>	>	>
>	>	>
9	9	9
.	.	.

back	back	back
-	-	-
up	up	up
lights	light	light
on	on	on
corvette	corvett	corvette
-	-	-
they	they	they
'	'	'
re	re	re
on	on	on
the	the	the
sides	side	side
of	of	of
the	the	the
car	car	car
!	!	!

>	>	>
>	>	>
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^

>	>	>
>	>	>
sure	sure	sure
would	would	would
be	be	be
interested	interest	interested
to	to	to
know	know	know
what	what	what
year	year	year
(	(	(
s	s	s
)	)	)
this	this	this
was	was	wa
!	!	!

>	>	>
>	>	>
i	i	i
don	don	don
'	'	'
t	t	t
seem	seem	seem
to	to	to
recall	recal	recall
any	ani	any
car	car	car
with	with	with
back	back	back
-	-	-
up	up	up
lights	light	light
on	on	on
the	the	the
sides	side	side
,	,	,
much	much	much

>	>	>
>	>	>
less	less	less
any	ani	any
corvette	corvett	corvette
.	.	.

i	i	i
suppose	suppos	suppose
i	i	i
could	could	could
be	be	be
mis	mis	mi
-	-	-
interpreting	interpret	interpreting
what	what	what
you	you	you
are	are	are

>	>	>
>	>	>
trying	tri	trying
to	to	to
say	say	say
here	here	here
.	.	.
.	.	.
.	.	.
.	.	.
.	.	.

>	>	>
just	just	just
a	a	a
quick	quick	quick
comment	comment	comment
.	.	.

backup	backup	backup
lights	light	light
mounted	mount	mounted
on	on	on
the	the	the
side	side	side

>	>	>
would	would	would
actually	actual	actually
be	be	be
*	*	*
extremely	extrem	extremely
*	*	*
useful	use	useful
for	for	for
people	peopl	people
backing	back	backing
out	out	out
of	of	of

>	>	>
parking	park	parking
stalls	stall	stall
.	.	.
.	.	.
.	.	.

>	>	>
regards	regard	regard
,	,	,
charles	charl	charles

>	>	>
-	-	-
-	-	-

>	>	>
within	within	within
the	the	the
span	span	span
of	of	of
the	the	the
last	last	last
few	few	few
weeks	week	week
i	i	i
have	have	have
heard	heard	heard
elements	element	element
of	of	of

>	>	>
separate	separ	separate
threads	thread	thread
which	which	which
,	,	,
in	in	in
that	that	that
